회사명,종목코드,상장(예정)일,상장방식,발행주식수,액면가,발행사유
이수화학,005950,2020-12-10,추가상장,"177,734","5,000",국내CB전환
에이프로젠 KIC,007460,2020-12-10,추가상장,"116,618",500,국내CB전환
에이프로젠 KIC,007460,2020-12-10,추가상장,"291,545",500,국내CB전환
엔에스엔,031860,2020-12-10,추가상장,"273,722",500,국내사모 전환사채 전환
버추얼텍,036620,2020-12-10,추가상장,"1,307,189",500,국내사모 전환사채 전환
아이에이,038880,2020-12-10,추가상장,"5,167,950",100,국내사모 전환사채 전환
성호전자,043260,2020-12-10,추가상장,"934,579",500,국내사모 전환사채 전환
GV,045890,2020-12-10,추가상장,"778,816",500,국내사모 전환사채 전환
아이씨케이,068940,2020-12-10,추가상장,"125,000",200,국내사모 전환사채 전환
오킨스전자,080580,2020-12-10,추가상장,"164,961",500,국내사모 전환사채 전환
덕신하우징,090410,2020-12-10,추가상장,"753,012",100,국내사모 전환사채 전환
이아이디,093230,2020-12-10,추가상장,"35,000,000",200,국내CB전환
대창솔루션,096350,2020-12-10,추가상장,"1,972,382",100,유상증자(제3자배정)
이엔드디,101360,2020-12-10,추가상장,"251,889",500,국내사모 전환사채 전환
디지탈옵틱,106520,2020-12-10,추가상장,"8,429,749",500,국내사모 전환사채 전환
아이텍,119830,2020-12-10,추가상장,"71,653",500,국내사모 신주인수권부사채 신주인수권 행사
아이텍,119830,2020-12-10,추가상장,"42,992",500,국내사모 전환사채 전환
비덴트,121800,2020-12-10,추가상장,"3,161,407",500,국내사모 전환사채 전환
비디아이,148140,2020-12-10,추가상장,"306,984",500,국내사모 전환사채 전환
엔젠바이오,354200,2020-12-10,신규상장,"12,215,562","1,000",유상증자
유유제약,000220,2020-12-09,추가상장,"854,699","1,000",국내CB전환
비케이탑스,030790,2020-12-09,추가상장,"215,517",500,국내CB전환
골드퍼시픽,038530,2020-12-09,추가상장,"2,072,966",500,국내사모 전환사채 전환
키움증권,039490,2020-12-09,추가상장,"55,628","5,000",주식의종류변경
키움증권,039490,2020-12-09,추가상장,"28,503","5,000",국내CB전환
성호전자,043260,2020-12-09,추가상장,"2,920,560",500,국내사모 전환사채 전환
서울리거,043710,2020-12-09,추가상장,"300,489",500,국내공모 신주인수권부사채 신주인수권 행사
조광ILI,044060,2020-12-09,추가상장,"1,192,201",500,국내사모 전환사채 전환
조광ILI,044060,2020-12-09,추가상장,"1,374,222",500,국내사모 신주인수권부사채 신주인수권 행사
에이디칩스,054630,2020-12-09,추가상장,"1,204,814",500,국내사모 전환사채 전환
코스온,069110,2020-12-09,추가상장,"366,478",500,국내사모 전환사채 전환
인바이오젠,101140,2020-12-09,변경상장,0,500,상호변경
에이비프로바이오,195990,2020-12-09,추가상장,"5,059,021",500,국내사모 전환사채 전환
미코바이오메드,214610,2020-12-09,추가상장,"463,965",500,국내사모 전환사채 전환
마이더스AI,222810,2020-12-09,추가상장,"4,123,709",100,국내사모 전환사채 전환
에스씨엠생명과학,298060,2020-12-09,추가상장,"5,260",500,주식매수선택권행사
퀀타매트릭스,317690,2020-12-09,신규상장,"14,589,324",500,유상증자(일반공모)
셀레믹스,331920,2020-12-09,추가상장,"66,000",500,신주인수권행사
DB금융스팩8호,367340,2020-12-09,신규상장,"6,050,000",100,유상증자
에이프로젠 KIC,007460,2020-12-08,추가상장,"87,463",500,국내CB전환
에이프로젠 KIC,007460,2020-12-08,추가상장,"233,236",500,국내CB전환
SGC이테크건설,016250,2020-12-08,변경상장,"-1,218,617","5,000",인적분할로인한 감자
SGC이테크건설,016250,2020-12-08,변경상장,0,"5,000",상호변경
하이트론씨스템즈,019490,2020-12-08,추가상장,"79,499","2,500",국내CB전환
릭스솔루션,029480,2020-12-08,추가상장,"177,304",100,국내사모 전환사채 전환
아이씨케이,068940,2020-12-08,추가상장,"187,500",200,국내사모 전환사채 전환
누리플랜,069140,2020-12-08,추가상장,"293,274",500,국내사모 전환사채 전환
에이팸,073070,2020-12-08,추가상장,"10,926,430",100,유상증자(제3자배정)
수성,084180,2020-12-08,추가상장,"787,401",500,유상증자(일반공모)
티웨이항공,091810,2020-12-08,추가상장,"18,355,467",500,무상증자
이아이디,093230,2020-12-08,추가상장,"5,000,000",200,국내CB전환
이연제약,102460,2020-12-08,추가상장,"117,391",500,국내CB전환
아이텍,119830,2020-12-08,추가상장,"100,315",500,국내사모 신주인수권부사채 신주인수권 행사
디엔에이링크,127120,2020-12-08,추가상장,"15,000",500,주식매수선택권행사
디에이테크놀로지,196490,2020-12-08,추가상장,"2,726,776","2,500",유상증자(제3자배정)
엔에스,217820,2020-12-08,추가상장,"304,207",500,국내사모 전환사채 전환
엔투텍,227950,2020-12-08,추가상장,"6,482,657",100,국내사모 전환사채 전환
이오플로우,294090,2020-12-08,추가상장,"32,179",100,주식매수선택권행사
TIGER 글로벌클라우드컴퓨팅INDXX,371450,2020-12-08,신규상장,"720,000",-,신규상장
TIGER 차이나전기차SOLACTIVE,371460,2020-12-08,신규상장,"720,000",-,신규상장
TIGER 차이나바이오테크SOLACTIVE,371470,2020-12-08,신규상장,"720,000",-,신규상장
대유플러스,000300,2020-12-07,추가상장,"508,165",500,국내CB전환
명신산업,009900,2020-12-07,신규상장,"40,779,120",500,유상증자(공모증자)
대창단조,015230,2020-12-07,변경상장,"11,428,892","1,000",액면분할
성호전자,043260,2020-12-07,추가상장,"584,112",500,국내사모 전환사채 전환
바이오니아,064550,2020-12-07,추가상장,"119,742",500,국내사모 전환사채 전환
에이루트,096690,2020-12-07,추가상장,"821,789",500,국내사모 전환사채 전환
아나패스,123860,2020-12-07,추가상장,"90,517",500,국내사모 전환사채 전환
아시아종묘,154030,2020-12-07,추가상장,"32,794",500,국내사모 전환사채 전환
엘앤케이바이오,156100,2020-12-07,추가상장,"5,000",500,주식매수선택권행사
감마누,192410,2020-12-07,추가상장,"2,102,213",500,국내사모 전환사채 전환
감마누,192410,2020-12-07,추가상장,"814,703",500,국내사모 신주인수권부사채 신주인수권 행사
에스트래픽,234300,2020-12-07,추가상장,"3,404,980",500,무상증자
넥스틴,348210,2020-12-07,추가상장,"18,640",500,국내사모 신주인수권부사채 신주인수권 행사
쌍용양회공업,003410,2020-12-04,변경상장,"4,534,736,355",100,액면분할
쌍용양회공업,003410,2020-12-04,변경상장,"-4,534,736,355",100,감자(주식병합)
더존비즈온,012510,2020-12-04,추가상장,"12,035",500,주식의종류변경
우리기술,032820,2020-12-04,추가상장,"570,570",500,국내사모 전환사채 전환
인성정보,033230,2020-12-04,추가상장,"683,058",500,국내사모 전환사채 전환
동성화인텍,033500,2020-12-04,추가상장,"32,206",500,국내사모 전환사채 전환
비츠로시스,054220,2020-12-04,추가상장,"3,250,000",500,유상증자(제3자배정)
알에프텍,061040,2020-12-04,추가상장,"3,068,226",500,국내사모 전환사채 전환
크리스탈지노믹스,083790,2020-12-04,추가상장,"119,181",500,국내사모 전환사채 전환
THE E&M,089230,2020-12-04,추가상장,"1,067,191",100,국내사모 전환사채 전환
다믈멀티미디어,093640,2020-12-04,추가상장,"540,540",500,국내사모 전환사채 전환
지트리비앤티,115450,2020-12-04,추가상장,"366,122",500,국내사모 전환사채 전환
텔콘RF제약,200230,2020-12-04,추가상장,"707,213",100,국내사모 전환사채 전환
한송네오텍,226440,2020-12-04,추가상장,"474,383",100,국내사모 전환사채 전환
와이아이케이,232140,2020-12-04,추가상장,"250,062",100,국내사모 전환사채 전환
이엠티,232530,2020-12-04,추가상장,"513,075",500,유상증자(제3자배정)
카카오게임즈,293490,2020-12-04,추가상장,"136,749",100,주식매수선택권행사
무진메디,322970,2020-12-04,추가상장,"9,000",500,주식매수선택권행사
클리노믹스,352770,2020-12-04,신규상장,"13,205,141",100,신규
쌍용양회공업,003410,2020-12-03,추가상장,"-1,543,685","1,000",상장폐지(종목별)
국동,005320,2020-12-03,추가상장,"13,000",500,신주인수권행사
이수화학,005950,2020-12-03,추가상장,"519,530","5,000",국내CB전환
엠벤처투자,019590,2020-12-03,추가상장,"993,402",500,국내사모 전환사채 전환
팬스타엔터프라이즈,054300,2020-12-03,추가상장,"68,305",500,국내사모 전환사채 전환
다날,064260,2020-12-03,추가상장,"402,230",500,국내사모 전환사채 전환
체리부로,066360,2020-12-03,추가상장,5,500,국내공모 신주인수권부사채 신주인수권 행사
코스온,069110,2020-12-03,추가상장,"576,035",500,우선주의 보통주전환
라이트론,069540,2020-12-03,변경상장,"-12,595",500,감자(무상)
이아이디,093230,2020-12-03,추가상장,"80,000,000",200,국내CB전환
이연제약,102460,2020-12-03,추가상장,"176,087",500,국내CB전환
에스와이,109610,2020-12-03,추가상장,"340,065",500,국내공모 신주인수권부사채 신주인수권 행사
아나패스,123860,2020-12-03,추가상장,"87,245",500,국내사모 신주인수권부사채 신주인수권 행사
아나패스,123860,2020-12-03,추가상장,"54,528",500,국내사모 전환사채 전환
한진칼,180640,2020-12-03,추가상장,12,"2,500",신주인수권행사
한진칼,180640,2020-12-03,추가상장,"8,477","2,500",신주인수권행사
한진칼,180640,2020-12-03,추가상장,18,"2,500",신주인수권행사
한진칼,180640,2020-12-03,추가상장,"15,828","2,500",신주인수권행사
한진칼,180640,2020-12-03,추가상장,169,"2,500",신주인수권행사
한진칼,180640,2020-12-03,추가상장,"4,893","2,500",신주인수권행사
한진칼,180640,2020-12-03,추가상장,61,"2,500",신주인수권행사
뉴지랩,214870,2020-12-03,추가상장,"128,410",500,국내사모 전환사채 전환
젠큐릭스,229000,2020-12-03,추가상장,"2,173",500,주식매수선택권행사
포인트모바일,318020,2020-12-03,신규상장,"6,165,000",100,신규
이지바이오,353810,2020-12-03,추가상장,"4,551,616",500,무상증자
넥스트사이언스,003580,2020-12-02,추가상장,"39,292",500,국내CB전환
넥스트사이언스,003580,2020-12-02,추가상장,"107,526",500,국내CB전환
센트럴인사이트,012600,2020-12-02,추가상장,"500,624",500,국내CB전환
케이피에프,024880,2020-12-02,추가상장,"25,367",500,국내사모 전환사채 전환
드래곤플라이,030350,2020-12-02,추가상장,"1,098,902",500,유상증자(제3자배정)
골드퍼시픽,038530,2020-12-02,추가상장,"829,187",500,국내사모 전환사채 전환
재영솔루텍,049630,2020-12-02,추가상장,"38,193",500,국내공모 신주인수권부사채 신주인수권 행사
티사이언티픽,057680,2020-12-02,추가상장,"4,580,151",500,국내사모 전환사채 전환
DMS,068790,2020-12-02,추가상장,"1,510,574",500,국내사모 전환사채 전환
에이티세미콘,089530,2020-12-02,추가상장,"200,000",500,국내사모 전환사채 전환
트루윈,105550,2020-12-02,추가상장,479,500,국내공모 신주인수권부사채 신주인수권 행사
지트리비앤티,115450,2020-12-02,추가상장,"267,304",500,국내사모 전환사채 전환
앱코,129890,2020-12-02,신규상장,"9,688,732",500,신규
메지온,140410,2020-12-02,추가상장,"2,000",500,주식매수선택권행사
영우디에스피,143540,2020-12-02,추가상장,"564,516",500,국내사모 전환사채 전환
뉴파워프라즈마,144960,2020-12-02,추가상장,"2,140,939",100,유상증자(제3자배정)
마이더스AI,222810,2020-12-02,추가상장,"2,680,411",100,국내사모 전환사채 전환
신흥에스이씨,243840,2020-12-02,추가상장,"5,144","2,500",국내사모 전환사채 전환
엔에프씨,265740,2020-12-02,신규상장,"8,690,000",100,신규
아주IB투자,027360,2020-12-01,추가상장,"69,625",500,주식매수선택권행사
키움증권,039490,2020-12-01,추가상장,"55,627","5,000",주식의종류변경
시너지이노베이션,048870,2020-12-01,추가상장,"1,030,828",500,국내사모 전환사채 전환
큐로홀딩스,051780,2020-12-01,추가상장,"10,176,124",500,국내사모 전환사채 전환
아이씨케이,068940,2020-12-01,추가상장,"125,000",200,국내사모 전환사채 전환
오킨스전자,080580,2020-12-01,추가상장,"330,033",500,국내사모 전환사채 전환
크리스탈지노믹스,083790,2020-12-01,추가상장,"20,681",500,국내사모 전환사채 전환
덕신하우징,090410,2020-12-01,추가상장,"1,129,518",100,국내사모 전환사채 전환
세미콘라이트,214310,2020-12-01,추가상장,"7,528,229",500,국내사모 전환사채 전환
파마리서치프로덕트,214450,2020-12-01,추가상장,"161,429",500,우선주의 보통주전환
더블유에스아이,299170,2020-12-01,추가상장,"24,027,963",100,타법인흡수합병
더블유에스아이,299170,2020-12-01,변경상장,0,100,상호변경
고바이오랩,348150,2020-12-01,추가상장,"7,506",500,주식매수선택권행사
동아쏘시오홀딩스,000640,2020-11-30,추가상장,37,"5,000",국내BW행사
인스코비,006490,2020-11-30,추가상장,"122,669",500,국내CB전환
인스코비,006490,2020-11-30,추가상장,"122,669",500,국내CB전환
글로스퍼랩스,032860,2020-11-30,추가상장,"629,370",500,국내사모 전환사채 전환
케이피엠테크,042040,2020-11-30,추가상장,"151,760",100,국내공모 신주인수권부사채 신주인수권 행사
케이피엠테크,042040,2020-11-30,추가상장,"70,000",100,주식매수선택권행사
오성첨단소재,052420,2020-11-30,추가상장,"2,993,590",500,국내사모 전환사채 전환
오성첨단소재,052420,2020-11-30,추가상장,1,500,국내공모 신주인수권부사채 신주인수권 행사
우수AMS,066590,2020-11-30,추가상장,"449,640",500,국내사모 전환사채 전환
엘오티베큠,083310,2020-11-30,추가상장,"1,267,668",500,유상증자(제3자배정)
에이티세미콘,089530,2020-11-30,추가상장,"19,800,000",500,국내사모 전환사채 전환
락앤락,115390,2020-11-30,변경상장,"-1,178,962",500,주식소각
태웅로직스,124560,2020-11-30,추가상장,"1,886,792",100,국내사모 전환사채 전환
맥스로텍,141070,2020-11-30,추가상장,"44,243",500,국내공모 신주인수권부사채 신주인수권 행사
파수,150900,2020-11-30,추가상장,"460,764",500,국내사모 전환사채 전환
금호에이치티,214330,2020-11-30,추가상장,"869,564",500,국내CB전환
지티지웰니스,219750,2020-11-30,추가상장,"220,990",500,유상증자(제3자배정)
케이씨텍,281820,2020-11-30,추가상장,"1,022,216",500,유상증자(제3자배정)
라온피플,300120,2020-11-30,추가상장,"169,000",500,주식매수선택권행사
메리츠화재,000060,2020-11-27,추가상장,"6,945,000",500,유상증자(제3자배정)
에이프로젠 KIC,007460,2020-11-27,추가상장,"874,635",500,국내CB전환
에이프로젠 KIC,007460,2020-11-27,추가상장,"1,224,488",500,국내CB전환
신성이엔지,011930,2020-11-27,추가상장,"1,439,094",500,국내BW행사
키움증권,039490,2020-11-27,추가상장,"37,085","5,000",주식의종류변경
신성델타테크,065350,2020-11-27,추가상장,"1,058,194",500,국내사모 전환사채 전환
우수AMS,066590,2020-11-27,추가상장,"1,989,917",500,유상증자(제3자배정)
아이씨케이,068940,2020-11-27,추가상장,"1,656,250",200,국내사모 전환사채 전환
티웨이항공,091810,2020-11-27,추가상장,"45,000,000",500,유상증자(구주주배정)
제넥신,095700,2020-11-27,추가상장,"8,000",500,주식매수선택권행사
한일진공,123840,2020-11-27,추가상장,"14,000,000",100,유상증자(제3자배정)
아시아종묘,154030,2020-11-27,추가상장,"119,699",500,국내사모 전환사채 전환
엘앤케이바이오,156100,2020-11-27,추가상장,"11,000",500,주식매수선택권행사
텔콘RF제약,200230,2020-11-27,추가상장,"707,208",100,국내사모 전환사채 전환
미코바이오메드,214610,2020-11-27,추가상장,"65,325",500,주식매수선택권행사
미코바이오메드,214610,2020-11-27,추가상장,"206,432",500,국내사모 전환사채 전환
엔투텍,227950,2020-11-27,추가상장,"724,112",100,국내사모 전환사채 전환
에스트래픽,234300,2020-11-27,추가상장,"5,500,000",500,유상증자(구주주배정)
네오펙트,290660,2020-11-27,추가상장,"6,500,000",500,유상증자(구주주배정)
대유플러스,000300,2020-11-26,추가상장,"840,336",500,국내CB전환
대유플러스,000300,2020-11-26,추가상장,"725,952",500,국내CB전환
유니슨,018000,2020-11-26,추가상장,"291,713",500,국내공모 신주인수권부사채 신주인수권 행사
성호전자,043260,2020-11-26,추가상장,"233,644",500,국내사모 전환사채 전환
비덴트,121800,2020-11-26,추가상장,"2,436,805",500,국내사모 전환사채 전환
뉴로스,126870,2020-11-26,추가상장,"28,557",500,국내사모 전환사채 전환
바이오리더스,142760,2020-11-26,추가상장,"8,226,691",500,유상증자(구주주배정)
세화아이엠씨,145210,2020-11-26,추가상장,"70,000,000",500,유상증자(구주주배정)
에이비프로바이오,195990,2020-11-26,추가상장,"6,745,362",500,국내사모 전환사채 전환
제일전기공업,199820,2020-11-26,신규상장,"11,110,000",500,신규
에스씨엠생명과학,298060,2020-11-26,추가상장,51,500,주식매수선택권행사
비올,335890,2020-11-26,추가상장,"49,950,000",100,타법인흡수합병
비올,335890,2020-11-26,변경상장,0,100,상호변경
이수화학,005950,2020-11-25,추가상장,"271,483","5,000",국내CB전환
우리기술,032820,2020-11-25,추가상장,"45,045",500,국내사모 전환사채 전환
에스엠,041510,2020-11-25,추가상장,"1,500",500,주식매수선택권행사
에이디칩스,054630,2020-11-25,추가상장,"229,885",500,국내사모 신주인수권부사채 신주인수권 행사
에이디칩스,054630,2020-11-25,추가상장,"229,884",500,국내사모 전환사채 전환
THE E&M,089230,2020-11-25,추가상장,"12,200,991",100,국내사모 전환사채 전환
컨버즈,109070,2020-11-25,추가상장,"3,105,583",500,유상증자(제3자배정)
삼본전자,111870,2020-11-25,추가상장,"47,169",500,국내사모 전환사채 전환
예스티,122640,2020-11-25,추가상장,"143,676",500,우선주의 보통주전환
예스티,122640,2020-11-25,추가상장,"7,745",500,국내사모 전환사채 전환
매직마이크로,127160,2020-11-25,추가상장,"437,636",100,국내사모 전환사채 전환
티피씨글로벌,130740,2020-11-25,추가상장,"186,706",500,국내사모 전환사채 전환
영우디에스피,143540,2020-11-25,추가상장,"282,258",500,국내사모 전환사채 전환
세화아이엠씨,145210,2020-11-25,추가상장,"157,480",500,국내CB전환
비디아이,148140,2020-11-25,추가상장,"1,009,344",500,국내사모 전환사채 전환
엘앤케이바이오,156100,2020-11-25,추가상장,"327,870",500,우선주의 보통주전환
코미코,183300,2020-11-25,추가상장,"90,909",500,국내사모 전환사채 전환
에이비온,203400,2020-11-25,추가상장,"127,084",500,유상증자(제3자배정)
삼양옵틱스,225190,2020-11-25,추가상장,"2,700",500,주식매수선택권행사
시스웍,269620,2020-11-25,추가상장,"49,251,618",100,무상증자
하나기술,299030,2020-11-25,신규상장,"3,234,533",500,신규
KINDEX 블룸버그베트남VN30선물레버리지(H),371130,2020-11-25,신규상장,"900,000",-,신규상장
엔케이물산,009810,2020-11-24,변경상장,"33,431,368",100,액면분할
엔케이물산,009810,2020-11-24,변경상장,"-75,220,586",500,감자(주식병합)
YG PLUS,037270,2020-11-24,추가상장,"7,000",500,스톡옵션행사
라온시큐어,042510,2020-11-24,추가상장,"380,952",500,국내사모 전환사채 전환
성호전자,043260,2020-11-24,추가상장,"1,168,224",500,국내사모 전환사채 전환
큐리언트,115180,2020-11-24,추가상장,"10,000",500,주식매수선택권행사
지트리비앤티,115450,2020-11-24,추가상장,"24,225",500,국내사모 전환사채 전환
드림텍,192650,2020-11-24,추가상장,"21,731",100,스톡옵션행사
에이디테크놀로지,200710,2020-11-24,추가상장,"74,335",500,국내사모 전환사채 전환
베노홀딩스,206400,2020-11-24,추가상장,"205,478",500,국내사모 전환사채 전환
스튜디오드래곤,253450,2020-11-24,추가상장,"1,877,345",500,유상증자(제3자배정)
지더블유바이텍,036180,2020-11-23,추가상장,"5,714,274",500,유상증자(제3자배정)
세진중공업,075580,2020-11-23,추가상장,"18,476,736",500,무상증자
오킨스전자,080580,2020-11-23,추가상장,"164,977",500,국내사모 전환사채 전환
스맥,099440,2020-11-23,추가상장,"293,398",500,국내사모 전환사채 전환
휴맥스,115160,2020-11-23,추가상장,"2,173,913",500,국내사모 전환사채 전환
아나패스,123860,2020-11-23,추가상장,"19,466",500,국내사모 전환사채 전환
유테크,178780,2020-11-23,추가상장,"290,023",500,국내사모 전환사채 전환
에코마케팅,230360,2020-11-23,추가상장,"40,000",100,주식매수선택권행사
SGC에너지,005090,2020-11-20,변경상장,0,"5,000",상호변경
릭스솔루션,029480,2020-11-20,추가상장,"17,553,187",100,국내사모 전환사채 전환
골드퍼시픽,038530,2020-11-20,추가상장,"3,316,748",500,국내사모 전환사채 전환
케이피엠테크,042040,2020-11-20,추가상장,"3,881,572",100,국내사모 전환사채 전환
케이피엠테크,042040,2020-11-20,추가상장,"841,750",100,국내사모 전환사채 전환
케이피엠테크,042040,2020-11-20,추가상장,"359,712",100,국내사모 전환사채 전환
캠시스,050110,2020-11-20,추가상장,"20,715",500,국내공모 신주인수권부사채 신주인수권 행사
이랜텍,054210,2020-11-20,추가상장,"82,644",500,국내사모 전환사채 전환
엠로,058970,2020-11-20,추가상장,"100,000",500,우선주의 보통주전환
코스온,069110,2020-11-20,추가상장,"533,638",500,국내사모 전환사채 전환
유니퀘스트,077500,2020-11-20,추가상장,"10,000",500,스톡옵션행사
이엠코리아,095190,2020-11-20,추가상장,"106,354",500,국내사모 전환사채 전환
에이루트,096690,2020-11-20,추가상장,"514,933",500,국내사모 전환사채 전환
인바이오젠,101140,2020-11-20,추가상장,"4,006,410",500,국내CB전환
트루윈,105550,2020-11-20,추가상장,87,500,국내공모 신주인수권부사채 신주인수권 행사
하이소닉,106080,2020-11-20,변경상장,"-124,571","1,000",감자(무상)
컨버즈,109070,2020-11-20,추가상장,"257,267",500,국내CB전환
에스와이,109610,2020-11-20,추가상장,"28,508",500,국내공모 신주인수권부사채 신주인수권 행사
메지온,140410,2020-11-20,추가상장,"47,500",500,주식매수선택권행사
메지온,140410,2020-11-20,추가상장,"95,000",500,국내사모 신주인수권부사채 신주인수권 행사
유니트론텍,142210,2020-11-20,추가상장,"43,279",500,국내사모 전환사채 전환
장원테크,174880,2020-11-20,추가상장,"2,945,507",100,국내사모 전환사채 전환
유바이오로직스,206650,2020-11-20,추가상장,"1,744,413",500,국내사모 신주인수권부사채 신주인수권 행사
토박스코리아,215480,2020-11-20,추가상장,"736,067",100,국내사모 전환사채 전환
퓨쳐켐,220100,2020-11-20,추가상장,"124,161",500,국내사모 전환사채 전환
플럼라인생명과학,222670,2020-11-20,추가상장,"45,000",500,국내사모 전환사채 전환
제놀루션,225220,2020-11-20,추가상장,"80,000",500,신주인수권행사
와이아이케이,232140,2020-11-20,추가상장,"100,025",100,국내사모 전환사채 전환
에이플러스에셋,244920,2020-11-20,신규상장,"22,607,693",500,유상증자(공모증자)
TS인베스트먼트,246690,2020-11-20,추가상장,"207,684",500,국내사모 전환사채 전환
넷마블,251270,2020-11-20,추가상장,"1,417",100,스톡옵션행사
코리아센터,290510,2020-11-20,추가상장,"48,539,802",100,무상증자
라닉스,317120,2020-11-20,추가상장,"160,000",500,유상증자(제3자배정)
티앤엘,340570,2020-11-20,신규상장,"4,064,000",500,유상증자
부산주공,005030,2020-11-19,추가상장,"616,985",500,국내CB전환
SGC에너지,005090,2020-11-19,추가상장,"9,822,586","5,000",합병
SGC에너지,005090,2020-11-19,변경상장,0,"5,000",상호변경
폴루스바이오팜,007630,2020-11-19,추가상장,"3,216,974",500,국내CB전환
폴루스바이오팜,007630,2020-11-19,추가상장,"1,783,166",500,국내CB전환
성호전자,043260,2020-11-19,추가상장,"4,672,892",500,국내사모 전환사채 전환
버킷스튜디오,066410,2020-11-19,추가상장,"2,514,886",500,국내사모 전환사채 전환
셀트리온제약,068760,2020-11-19,추가상장,635,500,주식매수선택권행사
다이노나,086080,2020-11-19,추가상장,"4,042,036",500,유상증자(제3자배정)
컨버즈,109070,2020-11-19,추가상장,"308,721",500,국내CB전환
아이텍,119830,2020-11-19,추가상장,"42,992",500,국내사모 신주인수권부사채 신주인수권 행사
비덴트,121800,2020-11-19,추가상장,"2,343,986",500,국내사모 전환사채 전환
뉴로스,126870,2020-11-19,추가상장,"449,784",500,국내사모 전환사채 전환
에이비프로바이오,195990,2020-11-19,추가상장,"10,792,576",500,국내사모 전환사채 전환
토박스코리아,215480,2020-11-19,추가상장,"420,609",100,국내사모 전환사채 전환
한진,002320,2020-11-18,추가상장,"2,972,972","5,000",유상증자(구주주배정)
국동,005320,2020-11-18,추가상장,74,500,신주인수권행사
국동,005320,2020-11-18,추가상장,"3,200",500,신주인수권행사
경동제약,011040,2020-11-18,추가상장,"452,011",500,국내사모 전환사채 전환
UCI,038340,2020-11-18,추가상장,"410,677",500,유상증자(일반공모)
네스엠,056000,2020-11-18,추가상장,"493,583",500,유상증자(제3자배정)
조이시티,067000,2020-11-18,추가상장,"143,000",500,국내사모 전환사채 전환
코렌,078650,2020-11-18,추가상장,"24,300,000",500,유상증자(구주주배정)
스맥,099440,2020-11-18,추가상장,"440,097",500,국내사모 전환사채 전환
삼본전자,111870,2020-11-18,추가상장,"47,169",500,국내사모 전환사채 전환
데일리블록체인,139050,2020-11-18,추가상장,"7,306,434",500,국내사모 전환사채 전환
한송네오텍,226440,2020-11-18,추가상장,"1,399,430",100,국내사모 전환사채 전환
셀리드,299660,2020-11-18,추가상장,"50,000",500,주식매수선택권행사
비비씨,318410,2020-11-18,추가상장,"45,000",500,주식매수선택권행사
고바이오랩,348150,2020-11-18,신규상장,"15,415,766",500,신규
경동나비엔,009450,2020-11-17,추가상장,"865,220","1,000",합병
우리종금,010050,2020-11-17,추가상장,"200,000,000",500,유상증자(구주주배정)
신성이엔지,011930,2020-11-17,추가상장,"2,617,037",500,국내BW행사
더존비즈온,012510,2020-11-17,추가상장,"14,956",500,주식의종류변경
더존비즈온,012510,2020-11-17,추가상장,"90,000",500,주식의종류변경
경인양행,012610,2020-11-17,추가상장,"30,000",500,스톡옵션행사
리더스 기술투자,019570,2020-11-17,추가상장,"12,000,000",500,국내사모 전환사채 전환
마크로젠,038290,2020-11-17,추가상장,"20,000",500,주식매수선택권행사
두산인프라코어,042670,2020-11-17,추가상장,"1,261,695","5,000",신주인수권행사
한국테크놀로지,053590,2020-11-17,추가상장,"2,586,205",500,국내사모 전환사채 전환
바이오니아,064550,2020-11-17,추가상장,"2,275,105",500,국내사모 전환사채 전환
셀트리온,068270,2020-11-17,추가상장,"4,067","1,000",스톡옵션행사
THE E&M,089230,2020-11-17,추가상장,"395,256",100,국내사모 전환사채 전환
상신이디피,091580,2020-11-17,추가상장,"71,589",500,국내사모 전환사채 전환
엠에스오토텍,123040,2020-11-17,추가상장,"26,167",500,국내공모 신주인수권부사채 신주인수권 행사
현대퓨처넷,126560,2020-11-17,변경상장,0,500,상호변경
코미코,183300,2020-11-17,추가상장,"72,726",500,국내사모 전환사채 전환
코미코,183300,2020-11-17,추가상장,"218,181",500,국내사모 신주인수권부사채 신주인수권 행사
미코바이오메드,214610,2020-11-17,추가상장,"616,579",500,국내사모 전환사채 전환
퓨쳐켐,220100,2020-11-17,추가상장,"413,872",500,국내사모 전환사채 전환
네패스아크,330860,2020-11-17,신규상장,"8,626,115",500,신규
진원생명과학,011000,2020-11-16,추가상장,"23,000","1,000",스톡옵션행사
레드로버,060300,2020-11-16,변경상장,"-53,296,145",500,감자(무상)
아이티엠반도체,084850,2020-11-16,추가상장,"20,000",500,주식매수선택권행사
모바일어플라이언스,087260,2020-11-16,추가상장,"1,231,223",500,국내사모 전환사채 전환
이원컴포텍,088290,2020-11-16,추가상장,"118,650",500,유상증자(제3자배정)
티로보틱스,117730,2020-11-16,추가상장,"5,579,429",500,무상증자
매직마이크로,127160,2020-11-16,추가상장,"2,188,183",100,국내사모 전환사채 전환
엔솔바이오사이언스,140610,2020-11-16,추가상장,"23,803",500,우선주의 보통주전환
맥스로텍,141070,2020-11-16,추가상장,"737,881",500,국내공모 신주인수권부사채 신주인수권 행사
지엔원에너지,270520,2020-11-16,추가상장,"743,484",100,주식매수선택권행사
진에어,272450,2020-11-16,추가상장,"15,000,000","1,000",유상증자(구주주배정)
동방,004140,2020-11-13,추가상장,"130,123","1,000",국내CB전환
카스,016920,2020-11-13,추가상장,"705,882",500,국내사모 전환사채 전환
